track_name,artist,spotify_id,genre,popularity,duration,album_art,danceability,energy,loudness,speechiness,acousticness,liveness,tempo
Molten,Kiwiisour,4z2BCUNtJ45TINErTDqjzF,funk jazz,0,285326,https://i.scdn.co/image/ab67616d00001e028b1b26315b39494a5fd26572,0.518,0.432,-11.22,0.0405,0.515,0.115,120.11
I Just Want You to Know,Jeffrey Owens,16xGTPVMMqJvQkwiYZVu47,lo-fi chill,42,184032,https://i.scdn.co/image/ab67616d00001e027699bd0c1981ecc872dd91b9,0.499,0.346,-9.226,0.0883,0.638,0.0908,112.095
On My Mind,Baird,0vrfkpuXq07MkztTYfRSSG,baltimore indie,35,198674,https://i.scdn.co/image/ab67616d00001e0201a22cedd0b5b3c37ac2235d,0.652,0.846,-8.121,0.0513,0.101,0.401,92
In Dreams...,Baird,1OghGAJGDks8X4y8KMQy4X,baltimore indie,29,139369,https://i.scdn.co/image/ab67616d00001e025cd010ce4f13017d7cf6b63c,0.787,0.622,-7.511,0.0307,0.204,0.0888,109.042
Como Los Gatos en la Calle,Sebastián .Otero,2vYnrUzOT6b47WHQtlpZGJ,puerto rican indie,32,248032,https://i.scdn.co/image/ab67616d00001e02aa044f25c98ed52821a1aeed,0.493,0.688,-7.607,0.228,0.0302,0.0784,100.011
Miel y Mantequilla,Sebastián .Otero,2YnlDzQ7jw9LwLhapCOYLU,puerto rican indie,18,227319,https://i.scdn.co/image/ab67616d00001e02e13b1bb13eeaa0bae5ba327d,0.764,0.393,-13.61,0.0497,0.341,0.0942,97.986
Donde Nadie Nos Nombre,Sebastián .Otero,5XNz30gSyNm8NUwOdTtNYw,puerto rican indie,11,243600,https://i.scdn.co/image/ab67616d00001e020be4e738400142230790c7a4,0.664,0.528,-10.464,0.0737,0.388,0.0996,75.052
What America Runs On,Maddie Pizzarelli,2kCF97RRPKAiRBQrndZQ12,indie folk,4,271032,https://i.scdn.co/image/ab67616d00001e02e079083212441f97ce2e157b,0.627,0.377,-6.472,0.0364,0.777,0.119,131.333
Citrus,Ismy,6hrM1s0eBs1WpY6nVSjOTe,electronic dance,7,167530,https://i.scdn.co/image/ab67616d00001e025be36feebfabd23d5a61c448,0.885,0.493,-9.256,0.242,0.59,0.0867,97.97
Hooked,Té Kav,1ej0KYvvvEUT7rKdlPLHdc,rap pop,1,205090,https://i.scdn.co/image/ab67616d00001e0283091e804556f45b8c0f44a0,0.551,0.574,-9.626,0.309,0.694,0.434,105.132
Easy to Love,Couch,6ditxim8H91c4d9WfGruK4,indie pop,36,186841,https://i.scdn.co/image/ab67616d00001e022ccf5145ff17715431bfa3d9,0.596,0.582,-4.151,0.0349,0.173,0.15,95.189
Ayudar,Danny Schiller,7gPLZHFps79jlU1cEzfBL8,soft pop,15,159157,https://i.scdn.co/image/ab67616d00001e02ef551fbacfd8ddb999d65f40,0.77,0.561,-6.16,0.137,0.268,0.346,97.995
Repeat It,Sonto,2jboVaTIt2WnfiH9yLS91e,electronic indie,1,191011,https://i.scdn.co/image/ab67616d00001e02af7b8eb7c96d51c4339bb81f,0.475,0.404,-10.356,0.0343,0.39,0.106,100.016
The Raspberry Men,Chance Emerson,0VfoTEGDqTA1uj9J1wl2Hs,country folk,31,300306,https://i.scdn.co/image/ab67616d00001e0244a87e7311ebf32f30ee7f35,0.501,0.372,-12.143,0.0299,0.581,0.108,117.008
Hard to Say,Storm Ford,0mCIV64EeFvhNFkduzxmCC,r&b soul,5,96000,https://i.scdn.co/image/ab67616d00001e020dfd3027008376557c9bd493,0.579,0.0655,-22.288,0.58,0.938,0.16,72.159
401 to the 508,ATM King,39gqlmnZLtx3u3r1luOMEb,rap hip-hop,21,127869,https://i.scdn.co/image/ab67616d00001e026b91b62bfb42232b51d70c4a,0.619,0.333,-13.837,0.401,0.475,0.0882,139.912
